Date,change_rate
2014-09-17,-1.831006158227294
2014-09-18,-7.096262301284363
2014-09-19,-6.910351272040087
2014-09-20,3.6057666471166714
2014-09-21,-2.2701097185048096
2014-09-22,0.7647210990854744
2014-09-23,8.380911266462155
2014-09-24,-2.8791718903605226
2014-09-25,-2.7370521916380066
2014-09-26,-1.7023588633633366
2014-09-27,-1.000111693204705
2014-09-28,-5.579881413606539
2014-09-29,-0.3876067843574746
2014-09-30,2.886555056893849
2014-10-01,-0.9839303144934687
2014-10-02,-2.3219515901386676
2014-10-03,-4.176385893169565
2014-10-04,-8.620919921502193
2014-10-05,-2.555660327378597
2014-10-06,3.024449095476147
2014-10-07,1.6948783285823863
2014-10-08,5.005416362617646
2014-10-09,3.4806761851486034
2014-10-10,-0.856899176439557
2014-10-11,0.25930001494792293
2014-10-12,4.396789967373005
2014-10-13,3.3057204562605005
2014-10-14,2.3431699803108117
2014-10-15,-1.5418130526841864
2014-10-16,-3.0320556862753594
2014-10-17,0.26178129441774184
2014-10-18,1.9443852334653142
2014-10-19,-0.4365470569226381
2014-10-20,-1.6406675039776715
2014-10-21,1.0600924686128694
2014-10-22,-0.7666106953549607
2014-10-23,-6.409255505204083
2014-10-24,-0.06860244538229204
2014-10-25,-3.1621998703936227
2014-10-26,2.0769152538621767
2014-10-27,-0.503976961348118
2014-10-28,1.2465538503089946
2014-10-29,-6.0203440841247975
2014-10-30,2.8584212390822135
2014-10-31,-1.9384967433286555
2014-11-01,-3.8095382279870846
2014-11-02,-0.05612632344223481
2014-11-03,0.6096972838550296
2014-11-04,1.0181511680707793
2014-11-05,2.6620594784649914
2014-11-06,2.8963820284518347
2014-11-07,-2.1162389481974615
2014-11-08,0.9744194057244832
2014-11-09,5.179282903729261
2014-11-10,1.2860741152585935
2014-11-11,0.5023855556395255
2014-11-12,15.102795358352356
2014-11-13,-1.5301750275447064
2014-11-14,-4.923078987721112
2014-11-15,-5.884398511240023
2014-11-16,3.509720906645597
2014-11-17,-0.24231027345266404
2014-11-18,-3.245872196285825
2014-11-19,1.7809756326894828
2014-11-20,-5.907598359800673
2014-11-21,-1.964632152918497
2014-11-22,0.3742874105140365
2014-11-23,4.076735542310365
2014-11-24,2.7123742281368366
2014-11-25,-0.40807948306855174
2014-11-26,-2.0342102608382446
2014-11-27,-0.2245603804092216
2014-11-28,1.9148608679681423
2014-11-29,-0.1757296858795356
2014-11-30,0.675611099227678
2014-12-01,0.2633191934172541
2014-12-02,0.5444963589733175
2014-12-03,-1.7583412441021147
2014-12-04,-1.6272798654464227
2014-12-05,2.0062738133344347
2014-12-06,-0.5234102945241991
2014-12-07,0.06909760176691856
2014-12-08,-3.481924948560857
2014-12-09,-2.6737023630579557
2014-12-10,-1.6581242630113562
2014-12-11,1.790676566932838
2014-12-12,0.48712188903085013
2014-12-13,-1.4203389833444202
2014-12-14,1.414657331086004
2014-12-15,-1.712196669670993
2014-12-16,-5.383987817441368
2014-12-17,-2.1657951604914296
2014-12-18,-2.6233273831762767
2014-12-19,2.141533256844632
2014-12-20,3.8842153901053647
2014-12-21,-2.6400233736924643
2014-12-22,3.369377637880776
2014-12-23,0.7695367071362347
2014-12-24,-3.544122145876182
2014-12-25,-1.0171136901567213
2014-12-26,2.7485345391501776
2014-12-27,-3.577719521829212
2014-12-28,0.34128605682798463
2014-12-29,-1.5835567151622807
2014-12-30,-0.6337941302071907
2014-12-31,2.9844238778252707
2015-01-01,-1.9305021879018274
2015-01-02,0.3034277679549067
2015-01-03,-10.723975111065618
2015-01-04,-6.0292477947574366
2015-01-05,3.5422672071209367
2015-01-06,4.21614693103359
2015-01-07,2.887337984340162
2015-01-08,-3.667027175983605
2015-01-09,2.841882840458457
2015-01-10,-4.353250279228135
2015-01-11,-3.2584622411540773
2015-01-12,0.6199581886263523
2015-01-13,-15.532516842393939
2015-01-14,-20.452089354974813
2015-01-15,18.624957108188802
2015-01-16,-0.4653977940697781
2015-01-17,-4.125410251479918
2015-01-18,5.143214850230101
2015-01-19,1.6030564480185268
2015-01-20,-0.7477420923691995
2015-01-21,7.341822116414992
2015-01-22,2.6763795264729
2015-01-23,-0.2732137244613339
2015-01-24,6.509240813267894
2015-01-25,2.573659071139321
2015-01-26,7.633058061879895
2015-01-27,-3.548007761249522
2015-01-28,-11.177484962603778
2015-01-29,0.07070696172257407
2015-01-30,-2.7267025396222078
2015-01-31,-3.964383646752351
2015-02-01,4.659535808940182
2015-02-02,5.182548856677154
2015-02-03,-4.2896685695118
2015-02-04,-0.289218875637908
2015-02-05,-4.635759192555235
2015-02-06,2.4630870018892312
2015-02-07,2.3001991161906017
2015-02-08,-1.8801591305452694
2015-02-09,-1.4678461548759716
2015-02-10,-0.2011027540728468
2015-02-11,-0.248938290136729
2015-02-12,1.1660227279450845
2015-02-13,6.063012478208505
2015-02-14,9.252833861647936
2015-02-15,-8.808301361852925
2015-02-16,-0.41818147201878303
2015-02-17,4.36462872733036
2015-02-18,-3.0576728149567933
2015-02-19,1.6382560122829466
2015-02-20,1.4684641370738674
2015-02-21,0.32081693040002235
2015-02-22,-3.5032554961065583
2015-02-23,1.2275697509557515
2015-02-24,-0.11004296566174337
2015-02-25,-0.594415074960582
2015-02-26,-0.38384690150866707
2015-02-27,7.355900941396198
2015-02-28,0.29307202717693004
2015-03-01,2.3277179276831474
2015-03-02,5.881546920087236
2015-03-03,2.4199610616433
2015-03-04,-3.155423966975778
2015-03-05,1.2609106834512087
2015-03-06,-1.0439093238175186
2015-03-07,1.4568737790738726
2015-03-08,-0.7520845575981957
2015-03-09,5.383674031431288
2015-03-10,0.6547978890311614
2015-03-11,1.6650386786299276
2015-03-12,-0.5987330331664175
2015-03-13,-2.985538293064737
2015-03-14,-0.8989447562092334
2015-03-15,1.7653079128068336
2015-03-16,1.7179724325378893
2015-03-17,-1.751577390013271
2015-03-18,-10.09165433314688
2015-03-19,1.9728013342435653
2015-03-20,0.3038823736061215
2015-03-21,-0.6187867780806343
2015-03-22,3.094449193139336
2015-03-23,-0.4311386276948727
2015-03-24,-7.870894696683932
2015-03-25,-0.5152073349128109
2015-03-26,0.9160440705370593
2015-03-27,-0.6183417443108269
2015-03-28,2.3577276659462623
2015-03-29,-3.9673212941003344
2015-03-30,1.9132997154419988
2015-03-31,-1.305291406101382
2015-04-01,1.248447477004455
2015-04-02,2.3942790889399617
2015-04-03,0.4931368190133903
2015-04-04,-0.23358834554487465
2015-04-05,2.6942636235235655
2015-04-06,-2.005593619144626
2015-04-07,-0.82029873092883
2015-04-08,-3.17784921399725
2015-04-09,-0.43922687790186243
2015-04-10,-3.1276904687512714
2015-04-11,0.2271013273276399
2015-04-12,-0.16149989568789241
2015-04-13,-4.81584720490603
2015-04-14,-2.491560309755607
2015-04-15,2.1727892297422313
2015-04-16,2.07933763213712
2015-04-17,-2.490645626193141
2015-04-18,0.2257120113299008
2015-04-19,-0.38306761650792126
2015-04-20,0.9047165349472981
2015-04-21,4.7408967619465825
2015-04-22,-0.6052623074266213
2015-04-23,1.02925914425268
2015-04-24,-1.9926244121224628
2015-04-25,-2.0952715669836444
2015-04-26,-3.082907501183098
2015-04-27,4.492111156921606
2015-04-28,-1.3600087753250354
2015-04-29,0.09618966890083366
2015-04-30,4.631074701021202
2015-05-01,-1.6360163797595726
2015-05-02,1.1143057917999304
2015-05-03,2.3322533686530758
2015-05-04,-0.5566731934689434
2015-05-05,-1.1433870138797395
2015-05-06,-2.7373641509870117
2015-05-07,3.340560033735663
2015-05-08,2.807293295296789
2015-05-09,-0.7946032851881724
2015-05-10,-0.5928120474042593
2015-05-11,0.7736232028541611
2015-05-12,-0.4266058529044956
2015-05-13,-2.079965947460152
2015-05-14,0.30269007096077793
2015-05-15,0.2743111103211834
2015-05-16,-0.62740794300228
2015-05-17,0.3355821637740404
2015-05-18,-1.586827276869665
2015-05-19,-0.4677353063677921
2015-05-20,0.9176790663876633
2015-05-21,0.567477281119329
2015-05-22,2.136234367053761
2015-05-23,-0.5884660327369952
2015-05-24,0.8272818283218927
2015-05-25,-1.584297862767598
2015-05-26,0.005058290035400308
2015-05-27,0.091958879248665
2015-05-28,0.06364447588651911
2015-05-29,-0.11837956528035856
2015-05-30,-1.5803966788391421
2015-05-31,-1.2632132175864155
2015-06-01,-3.1737443293093226
2015-06-02,1.3051031515758966
2015-06-03,0.0611335776783634
2015-06-04,-0.641354121201684
2015-06-05,0.35600027964301634
2015-06-06,0.2728821136248597
2015-06-07,-1.2034771988991977
2015-06-08,2.517061125390046
2015-06-09,0.2231619153734265
2015-06-10,-0.08384521359305384
2015-06-11,0.37141688815376334
2015-06-12,0.12058631533643635
2015-06-13,1.0795035876272527
2015-06-14,0.47366565355846796
2015-06-15,1.4570181984768273
2015-06-16,5.967944974653313
2015-06-17,-0.6135806831222607
2015-06-18,-0.16878217391074085
2015-06-19,-1.7816186253015929
2015-06-20,0.2789051810993059
2015-06-21,-0.47164660570702527
2015-06-22,1.2382767585612802
2015-06-23,-1.0654957470390434
2015-06-24,-1.542069545353905
2015-06-25,1.0126226459303862
2015-06-26,0.40806838239881815
2015-06-27,3.055241304443586
2015-06-28,-0.774640963502021
2015-06-29,3.354361936761553
2015-06-30,2.3483013944935482
2015-07-01,-1.7938441973608716
2015-07-02,-1.2144556475790558
2015-07-03,0.3433031925375226
2015-07-04,1.71350615019197
2015-07-05,4.259121573946724
2015-07-06,-0.7664852813596007
2015-07-07,-1.391306136863186
2015-07-08,1.8057647247529687
2015-07-09,-0.5904134550624438
2015-07-10,5.847169020638334
2015-07-11,2.890685625672473
2015-07-12,6.047277362441872
2015-07-13,-6.039697485925383
2015-07-14,-1.5648888066821534
2015-07-15,-0.7693253882781441
2015-07-16,-2.78036202617213
2015-07-17,0.4965933555343734
2015-07-18,-1.5859295160403064
2015-07-19,-0.41962267168615985
2015-07-20,2.0043929852828857
2015-07-21,-1.093287067053824
2015-07-22,0.5677243278304929
2015-07-23,-0.4658496838106892
2015-07-24,4.446662211475905
2015-07-25,0.18496047363438875
2015-07-26,1.40174258068909
2015-07-27,0.3365871692045057
2015-07-28,0.27040774011756263
2015-07-29,-1.6618941284100193
2015-07-30,-0.47768856706835944
2015-07-31,-1.058763540440276
2015-08-01,-1.083647037371473
2015-08-02,0.7719793992286844
2015-08-03,-0.5583368143281291
2015-08-04,1.4198527408197408
2015-08-05,-1.040908451010546
2015-08-06,-1.1808936101298448
2015-08-07,0.30278794607055015
2015-08-08,-6.700815330811295
2015-08-09,1.5192521863260409
2015-08-10,-0.3796908284375671
2015-08-11,2.2864227364733543
2015-08-12,-1.5602424958737244
2015-08-13,-0.7900681988721993
2015-08-14,0.5860721978556632
2015-08-15,-1.498140297492637
2015-08-16,-1.2827204843357136
2015-08-17,-0.19883828008785934
2015-08-18,-18.162961877932762
2015-08-19,0.44888375764685595
2015-08-20,3.7245664154660254
2015-08-21,-1.1837418087456342
2015-08-22,-0.9765252378106994
2015-08-23,-0.95799938561079
2015-08-24,-7.7229625939192275
2015-08-25,5.493935650252749
2015-08-26,1.6908578846477051
2015-08-27,-0.5666913700866851
2015-08-28,2.9795114153499203
2015-08-29,-0.763983961562578
2015-08-30,-0.49326982512540846
2015-08-31,0.4111496238981344
2015-09-01,-0.9272264511658486
2015-09-02,0.5512521867505425
2015-09-03,-0.9336163776405821
2015-09-04,1.356868103861978
2015-09-05,2.093837053192952
2015-09-06,2.1160647694582657
2015-09-07,-0.03626231094963437
2015-09-08,1.5680902312408391
2015-09-09,-2.1555755246296333
2015-09-10,0.059162892132622186
2015-09-11,0.7460275153627324
2015-09-12,-1.9286618597445786
2015-09-13,-2.0107000016864696
2015-09-14,0.015178793148316593
2015-09-15,-0.08156618731001983
2015-09-16,-0.5033644221634094
2015-09-17,0.3204148480705411
2015-09-18,-0.2338076658491165
2015-09-19,-0.5861965159651307
2015-09-20,-0.0808112646484719
2015-09-21,-1.7870609040286776
2015-09-22,1.6077094975071666
2015-09-23,-0.2827622652220848
2015-09-24,1.8106621945317611
2015-09-25,0.33367085205507496
2015-09-26,-0.3130935007475242
2015-09-27,-0.5902492705219862
2015-09-28,2.708343982688396
2015-09-29,-0.9744159163920441
2015-09-30,-0.245098813620132
